Asset_A,Asset_B,MeanRelativeReturn,StdRelativeReturn,ProbabilityOutperform
AAPL,MSFT,-0.004736887707383109,0.009263089014622227,0.40247745971294435
AAPL,TSLA,0.002884877809614376,0.016755017851346074,0.5103158825705586
AAPL,TSM,-0.017089438166012223,0.0164692312510977,0.24313940715059867
AAPL,PG,0.00927501784082019,0.011103063696841928,0.6743548110187342
MSFT,TSLA,0.003393612931043177,0.011266165644410877,0.5643256755453977
MSFT,TSM,-0.01235255045862912,0.01955484841301994,0.332892675424054
MSFT,PG,0.014011905548203295,0.014455389559314117,0.7280714301006498
TSLA,TSM,-0.015746163389672295,0.021201416459155804,0.3101621239459949
TSLA,PG,0.010618292617160121,0.011508830726171416,0.7021011381958765
TSM,PG,0.026364456006832414,0.02163580397251674,0.8464229619212124
